time,x,y
10.546,-1.6711929165308788,0.04555178542469216
10.647,-1.6711929165475459,0.04555178543163535
10.747,-1.6711929165641948,0.04555178543857369
10.848,-1.6711929165808388,0.045551785445511014
10.945,-1.67119291659747,0.045551785452448326
11.045,-1.6711929166140882,0.04555178545938075
11.145,-1.6711929166307005,0.04555178546631511
11.245,-1.671192916647296,0.04555178547324336
11.35,-1.6711929166638861,0.045551785480170054
11.445,-1.6711929166804647,0.045551785487097284
11.548,-1.671192916697029,0.04555178549401906
11.645,-1.6711929167135884,0.0455517855009433
11.745,-1.6711929167301303,0.04555178550786221
11.845,-1.6711929167466664,0.045551785514780285
11.945,-1.6711929167631911,0.04555178552169823
12.045,-1.6711929167797017,0.04555178552860922
12.145,-1.6711929167962085,0.04555178553552259
12.249,-1.671192916812698,0.04555178554243214
12.345,-1.6711929168291804,0.04555178554934
12.445,-1.6711929168456525,0.04555178555624842
12.547,-1.67119291686211,0.04555178556315029
12.645,-1.671192916878564,0.045551785570053765
12.746,-1.6711929168950006,0.045551785576954044
12.846,-1.6711929169114295,0.04555178558385075
12.946,-1.6711929169278503,0.04555178559074957
13.052,-1.6711929169442545,0.04555178559764243
13.148,-1.6711929169606543,0.04555178560453688
13.245,-1.671192916977039,0.04555178561142802
13.345,-1.671192916993414,0.04555178561831455
13.446,-1.6711929170097835,0.04555178562520332
13.546,-1.6711929170261348,0.04555178563208681
13.645,-1.6711929170424817,0.045551785638970485
13.745,-1.6711929170588153,0.04555178564585284
13.845,-1.671192917075137,0.04555178565273044
13.958,-1.671192917091454,0.04555178565960989
14.045,-1.6711929171077529,0.0455517856664839
14.146,-1.6711929171240467,0.04555178567335588
14.249,-1.6711929171403301,0.045551785680229356
14.348,-1.6711929171565985,0.04555178568709722
14.445,-1.6711929171728621,0.04555178569396699
14.545,-1.6711929171891102,0.04555178570083235
14.65,-1.6711929172053503,0.04555178570769491
14.746,-1.6711929172215834,0.045551785714559145
14.845,-1.6711929172377988,0.04555178572141714
